question_id,paper_number,paper_name,question_number,marks,question_type,difficulty_level,estimated_time_minutes,topic_1,topic_2,topic_3,question_text,requirements,key_points
CAP2_DEC2022_AUD_Q2D,2,Audit and Assurance,2d,5,Professional Opinion,Easy,12,Auditor independence,Code of Ethics,Overdue fees,"Auditor requested client to pay 70% of previous year audit fee before signing current year audit report. Client lodged disciplinary complaint.","Comment on the auditor's request with reference to Code of Ethics.","Code of Ethics section 410.7: Overdue fees create self-interest threat, Permissible safeguards, Partial payment allowed, Independence maintenance requirement"

CAP2_DEC2022_AUD_Q3A,2,Audit and Assurance,3a,5,Concept-based,Medium,12,Internal audit evaluation,NSA 610,Objectivity assessment,"Explain circumstances when external auditor can use the work of internal audit function.","Explain the evaluation criteria and when internal audit work can be used.","NSA 610: Organizational status evaluation, Competence level assessment, Systematic approach evaluation, Objectivity assessment, Risk of audit quality"

CAP2_DEC2022_AUD_Q3B,2,Audit and Assurance,3b,5,Concept-based,Easy,12,Error types,NSA 240,Error classification,"Define error and briefly discuss the types of errors.","What are the different types of errors in financial statements?","Self-revealing vs not self-revealing, Unintentional vs intentional (fraud), Unconcealed vs concealed errors, Examples of each type"

CAP2_DEC2022_AUD_Q3C,2,Audit and Assurance,3c,5,Concept-based,Easy,12,External confirmation,Audit evidence,Positive/Negative,"Define external confirmation as audit evidence and its types.","What are the types of external confirmations?","Definition of external confirmation, Positive confirmation (response required), Negative confirmation (response if disagree), Evidence reliability"

CAP2_DEC2022_AUD_Q4A,2,Audit and Assurance,4a,5,Professional Opinion,Easy,12,Marketing ethics,Code of Ethics,Sponsorship,"Chartered Accountant firm approached by Lalita Sports Club to sponsor a sports event. Is sponsorship allowed?","Is the firm allowed to sponsor the event as per ICAN Code of Ethics?","Guidelines on marketing professional services, Sponsorship of charitable organizations, Display of simple banner, Permission when done properly"

CAP2_DEC2022_AUD_Q4B,2,Audit and Assurance,4b,5,Professional Opinion,Easy,12,Solicitation prohibition,Code of Ethics,Client portfolio,"PRR & Associates published website with client portfolio, testimonials, and service details.","Comment on the website content with reference to Code of Ethics.","Code of Ethics prohibition on solicitation, Client portfolio display restrictions, Testimonial prohibition, Disciplinary action risk"

CAP2_DEC2022_AUD_Q4C,2,Audit and Assurance,4c,5,Professional Opinion,Medium,12,Contingent fees,Code of Ethics,Non-audit services,"Kriti Associates appointed for Risk Management Service. Bank agreed to pay Rs 32 Lakh if operational risk fixed below 5 out of 10.","Comment on this fee arrangement with reference to ICAN Code of Ethics.","Definition of contingent fees, Prohibition in audit engagements, Threats in non-audit services, Materiality test, Outcome dependency"

CAP2_DEC2022_AUD_Q5A,2,Audit and Assurance,5a,5,Regulatory Analysis,Medium,12,Government company audit,Audit Act 2075,Auditor appointment,"Kohalpur Limited (GON substantial investment) completed AGM but failed to appoint auditor due to lack of consultation from Auditor General.","How can the company appoint the auditor?","Audit Act 2075 section 11, Companies Act 2063 section 113, Auditor General consultation requirement, CRO appointment authority"

CAP2_DEC2022_AUD_Q5B,2,Audit and Assurance,5b,5,Regulatory Analysis,Easy,12,Auditor COP validity,Nepal CA Act,Audit report validity,"CBB & Associates issued audit report on 15th Bhadra 2079. Later revealed auditor did not renew COP on 30th Asoj 2079.","Comment on the validity of the audit report.","Nepal CA Act section 29: No audit service without valid COP, Audit report validity implications, Disciplinary action consequences"

CAP2_DEC2022_AUD_Q6,2,Audit and Assurance,6,10,Short notes,Easy,20,Examination in depth,Peer review,Government audit,Tolerable misstatement,"Write short notes on: a) Examination in Depth, b) Peer Review, c) Government Audit, d) Tolerable Misstatement","4 short notes of 2.5 marks each.","Examination in depth: Follow transaction through flow. Peer Review: Quality assurance system. Government Audit: Financial and performance audit. Tolerable: Margin for undetected misstatement"

CAP2_DEC2022_AUD_Q7A,2,Audit and Assurance,7a,5,Distinction,Easy,12,Batch vs Online processing,Computerized environment,System differences,"Distinguish between Batch Processing and Online Real Time (OLRT) Processing System in computerized environment.","What are the differences between batch and OLRT processing?","Batch: Accumulated and processed in groups. OLRT: Processed as they occur. File structure, Update timing, Reporting capability, Audit trail differences"

CAP2_DEC2022_AUD_Q7B,2,Audit and Assurance,7b,5,Distinction,Easy,12,Accounting policies vs estimates,NAS-8,Nature of change,"Distinguish between Accounting Policies and Accounting Estimates.","What is the difference between policy changes and estimate changes?","Nature: Principles vs judgments. Changes: Retrospective vs prospective. Examples: FIFO to weighted average vs depreciation method change"

CAP2_DEC2022_LAW_Q1A,3,Corporate and Other Laws,1a,5,Legal Analysis,Easy,12,Proxy appointment,Companies Act 2063,Director proxy,"Mr. Madan, director of Manakamana Limited, appoints proxy Mr. Lila Raj to attend AGM in capacity of director.","Is the appointment of proxy valid? Explain with reference to Companies Act 2063.","Companies Act section 68: Director must be present. Section 71: Proxy for shareholders. Proxy as director invalid. Not shareholder capacity issue"

CAP2_DEC2022_LAW_Q1B,3,Corporate and Other Laws,1b,5,Legal Analysis,Medium,12,Prospectus liability,Companies Act 2063,Director liability,"Rita Pradhan signed prospectus with reservations. Prospectus contains false contents causing investor loss.","What relief can Rita Pradhan claim? Explain with reference to Companies Act 2063.","Companies Act section 24: Director liability for false statements. Relief if: Resign before publication, Publish notice of false statement, Prove ignorance. Notice publication requirement"

CAP2_DEC2022_LAW_Q1C,3,Corporate and Other Laws,1c,5,Regulatory Analysis,Medium,12,Auditor removal,Companies Act 2063,Disclaimer opinion,"Board wants to remove auditor on ground of disclaimer opinion on fixed assets due to non-provision of details.","Examine validity of removal proceedings with reference to Companies Act 2063.","Companies Act section 119: Removal grounds - breach of conduct, act against company interest, act contrary to law. Disclaimer opinion not valid ground. Auditor cannot be removed"

CAP2_DEC2022_LAW_Q1D,3,Corporate and Other Laws,1d,5,Regulatory Guidance,Medium,12,FPO at premium,Companies Act 2063,Share issuance,"National Insurance Company wants to issue Further Public Offering (FPO) at premium.","Advise on pre-conditions and procedures for issuing FPO at premium citing Companies Act 2063.","Companies Act section 29: Conditions - Made profits 3 consecutive years, Net worth > liabilities, General meeting approval. Subsection 3: Use of premium account"

CAP2_DEC2022_LAW_Q1E,3,Corporate and Other Laws,1e,5,Regulatory Guidance,Medium,12,Company conversion,Companies Act 2063,Public to private,"Namaste Telecom wants to convert from public to private limited company.","Assist with conversion process under Companies Act 2063.","Companies Act section 14: Circumstances - Shareholders < 7 or paid-up capital not maintained. Process: Amend memorandum and articles, Apply to CRO within 30 days, Conversion certificate within 60 days"

CAP2_DEC2022_LAW_Q2A,3,Corporate and Other Laws,2a,5,Regulatory Analysis,Medium,12,NRB director removal,NRB Act 2058,Removal grounds,"Taranath Rai, NRB director, facing removal application due to past CEO expulsion for security over-valuation causing bank loss.","What are conditions for NRB director removal? Can removal proceed on this ground?","NRB Act 2058 section 22(5): Removal grounds - Disqualification, Lack of capability, Act causing loss to banking system, Dishonesty, License revocation, Absence from meetings. Past act not ground for removal"

CAP2_DEC2022_LAW_Q2B,3,Corporate and Other Laws,2b,5,Regulatory Analysis,Easy,12,Bank auditor report,Bank and Financial Institution Act 2073,Audit report requirements,"Mr. Shisir Chand appointed as auditor of Manaslu Bank Ltd for the first time. What matters should be included in auditor's report?","State matters to be included in bank auditor's report per Bank and Financial Institution Act 2073.","Act section 66(3): Queries response, Financial statement format compliance, Accuracy of records, Misconduct/irregularity/loss, Credit write-off compliance, Transaction satisfaction, Shareholder matters, Other prescribed matters"

CAP2_DEC2022_LAW_Q2C,3,Corporate and Other Laws,2c,5,Regulatory Guidance,Medium,12,NRB lending,NRB Act 2058,Loan and refinancing,"Mr. Dhakal, Nepal Commercial Bank CEO, seeks information about NRB loan and refinancing provisions.","Make recommendations about NRB lending and refinancing per NRB Act 2058.","NRB Act section 49(1): Loan/refinance to commercial banks max 1 year against securities - international negotiable instruments, Government bonds, Deposits/gold, Bills/promissory notes. Section 49(2): Other credit 1 year if public interest and Government guarantee. Section 49(3): Renewal possible"

CAP2_DEC2022_LAW_Q3A,3,Corporate and Other Laws,3a,5,Regulatory Analysis,Easy,12,Insurance registration cancellation,Insurance Act 2049,Cancellation grounds,"No person can operate insurance business without certificate. State conditions when registration of insurer may be cancelled.","Under what circumstances can insurance registration be cancelled per Insurance Act 2049?","Insurance Act 2049 section 13: Cancellation grounds - Business not started within 6 months, Liability > assets, Court decision not fulfilled in 3 months, Unequal facilities vs foreign insurer, No office in Nepal, Functions not performed per Act. Board provides reasonable time for clarification"

CAP2_DEC2022_LAW_Q3B,3,Corporate and Other Laws,3b,5,Regulatory Guidance,Easy,12,Securities business license,Securities Act 2063,License requirements,"Group of young graduates wanting to start securities business in Nepal approach for advice on licensing requirements.","State license requirements and matters to specify when applying for securities business license per Securities Act 2063.","Securities Act section 56: License mandatory for securities business. Section 57: Required matters - Type of securities business, Agent appointment, Stock exchange recommendation, Ability to carry business. Apply to Securities Board"

CAP2_DEC2022_LAW_Q4A,3,Corporate and Other Laws,4a,5,Regulatory Guidance,Easy,12,Advance bonus,Bonus Act 2030,Bonus distribution,"Employees of Barahi Motors Ltd demanded advance bonus which was refused. Board unable to decide without balance sheet.","Advise on conditions and procedures for advance bonus distribution per Bonus Act 2030.","Bonus Act 2030 section 11: If balance sheet not submitted, distribute tentative 5% minimum of net income. Later adjust after final assessment. Excess deduct in next year assessment"

CAP2_DEC2022_LAW_Q4B,3,Corporate and Other Laws,4b,5,Regulatory Analysis,Easy,12,Wage deductions,Labor Act 2074,Remuneration deductions,"State allowed deductions from worker remuneration per Labor Act 2074.","What deductions are allowed from worker remuneration per Labor Act 2074?","Labor Act 2074 section 38: Allowed deductions - Tax/fees, Provident fund/insurance/social security contribution, Court/judicial order, Prescribed services/facilities, Absence period, Loss/damage of employer property, Collective agreement amounts, Union fees, Loan/advance provided"

CAP2_DEC2022_LAW_Q5A,3,Corporate and Other Laws,5a,5,Regulatory Analysis,Easy,12,CA councilor cessation,Nepal CA Act 2053,Vacancy fulfillment,"State circumstances when a councilor ceases office and how vacant post is filled per Nepal CA Act 2053.","When does a councilor's post become vacant and how is vacancy filled?","Nepal CA Act 2053 section 8(1): Cessation - Ceases membership, Resignation accepted, 3 consecutive meeting absence, Term expires, Non-compliance with conduct, Death. Vacancy: <1 year remaining - designation; >1 year - election"

CAP2_DEC2022_LAW_Q5B,3,Corporate and Other Laws,5b,5,Concept-based,Easy,12,Certificate of Practice,Nepal CA Act 2053,COP definition,"Define Certificate of Practice (COP). Why is it required per Nepal CA Act 2053?","What is COP and why is it required?","Nepal CA Act 2053 section 2(j): COP is certificate to render accounting profession. Section 28: Member applies to Institute with fees, Council provides COP after fulfilling conditions. Required: No member can carry audit profession without valid COP"

CAP2_DEC2022_LAW_Q6A,3,Corporate and Other Laws,6a,4,Regulatory Analysis,Easy,10,Social Welfare Council,Fund and audit,Legal provisions,"State legal provisions regarding fund, account and auditing of Social Welfare Council.","What are the legal provisions for Social Welfare Council fund and auditing?","Social Welfare Act 2049 section 17: Fund contains GON money, Foreign assistance through GON, Property income, Donations/assistance, Other sources. Section 18: Accounts per Government procedures, Audit by Auditor General, Government inspection right, Council inspection of affiliated organizations"

CAP2_DEC2022_LAW_Q6B,3,Corporate and Other Laws,6b,4,Regulatory Analysis,Easy,10,Environmental mitigation,Industrial Enterprises Act 2076,Adverse effects,"Mention provisions related to mitigation of adverse environmental effects per Industrial Enterprises Act 2076.","What are the provisions for environmental effect mitigation?","Industrial Enterprises Act 2076 section 7: EIA/IEE required before operation if required by law, Carried out when increasing capital/capacity/changing objective, Industry responsible for mitigation, Monitoring by industry registration body, Self-declaration if not required"

CAP2_DEC2022_LAW_Q6C,3,Corporate and Other Laws,6c,4,Regulatory Analysis,Easy,10,Insurance certificate renewal,Insurance Act 2049,Non-renewal circumstances,"Under what circumstances cannot insurance registration certificate be renewed per Insurance Act 2049?","When cannot insurance certificate be renewed?","Insurance Act 2049 section 11A: Cannot renew if - Balance sheet not submitted, Income statement not submitted, Auditor report not submitted, Actuary report not submitted, Insurance service fee not paid, Prohibited from business. Board notifies within 15 days"

CAP2_DEC2022_LAW_Q6D,3,Corporate and Other Laws,6d,4,Regulatory Analysis,Easy,10,Labor lay-off,Labor Act 2074,Lay-off remuneration,"Highlight legal provisions relating to lay-off period and remuneration per Labor Act 2074.","What are lay-off provisions and remuneration?","Labor Act 2074 section 15: Lay-off max 15 days, employer can stop work due to shortage/inability. Section 39: Workers laid off receive half remuneration until work resumes. Employment continues during lay-off"

CAP2_DEC2022_LAW_Q6E,3,Corporate and Other Laws,6e,4,International organization,WTO functions,Global trade,"State major functions of WTO.","What are the main functions of WTO?","WTO functions: Implement covered agreements, Provide negotiation forum, Administer dispute settlement, Administer trade policy review, Cooperate with IMF/IBRD for policy coherence, Assist developing countries"

CAP2_DEC2022_LAW_Q7A,3,Corporate and Other Laws,7a,5,Short notes,Easy,10,Securities Board,Establishment,Composition,"Write short note on Establishment of Nepal Securities Board.","Explain the establishment and structure of Nepal Securities Board.","Securities Act 2063 section 3: Established to regulate securities market and protect investor interests. Consists of: Chairperson (GON), Joint Secretaries (Finance, Law), NRB representative, ICAN representative, FNCCI representative, Expert nominee (3 years tenure)"

CAP2_DEC2022_LAW_Q7B,3,Corporate and Other Laws,7b,5,Short notes,Easy,10,Promissory note,Negotiable Instruments Act 2034,Definition,"Write short note on Promissory Note as per Negotiable Instruments Act 2034.","Define and explain promissory note.","Negotiable Instruments Act 2034 section 2(f): Written instrument (not government/bank note) containing unconditional promise signed by maker to pay certain sum to certain person or bearer. Must include: writing, express promise, unconditional, money only, maker signature, certainty of parties"
